name                           | color  | lambda (anonymous function)       | notes                                                            | | | | | | | | | | | github order number| xl order number
AppleScript                    | #101F1F| yes                               | MATCH 2.8                                                        | | | | | | | | | | |                  25|                
Arc                            | #aa2afe| yes                               | LISP-style                                                       | | | | | | | | | | |                  26|                
AspectJ                        | #a957b0| yes                               | Java wrapper/based/framework, not real programming/scripting lang| | | | | | | | | | |                  27|                
Assembly                       | #6E4C13| no                                | No lambda                                                        | | | | | | | | | | |                  28|                
Asymptote                      | #ff0000| yes                               | MATCH v3.13                                                      | | | | | | | | | | |                  29|                
Augeas                         | #9CC134| no                                | Not programming/scripting lang                                   | | | | | | | | | | |                  30|                
AutoHotkey                     | #6594b9| yes                               | lambda exist but no linux support, windows only                  | | | | | | | | | | |                  31|                
AutoIt                         | #1C3552| no                                | Pascal-style                                                     | | | | | | | | | | |                  32|                
Awk                            | #c30e9b| no                                | No lambda                                                        | | | | | | | | | | |                  33|                
B                              | #da7666| no                                | Not programming/scripting lang                                   | | | | | | | | | | |                  34|                
B (Formal Method)              | #8aa8c5| no                                | Not programming/scripting lang                                   | | | | | | | | | | |                  35|                
B4X                            | #00e4ff| no                                | Pascal-style                                                     | | | | | | | | | | |                  36|                
BAML                           | #a855f7| no, markup                        | AI agents, MATCH BAML Toolchain v0.6x / v1.0.0 WIP               | | | | | | | | | | |                  37|                
BASIC                          | #ff0000| no                                | Pascal-style                                                     | | | | | | | | | | |                  38|                
BQN                            | #2b7067| yes                               | esolang                                                          | | | | | | | | | | |                  39|                
Ballerina                      | #FF5000| yes                               | MATCH 2201.13.5                                                  | | | | | | | | | | |                  40|                
Batchfile                      | #C1F12E| no                                | No Lambda, no linux support, windows only                        | | | | | | | | | | |                  41|                
Beef                           | #a52f4e| yes                               | C#, MATCH v0.43.5                                                | | | | | | | | | | |                  42|                
Berry                          | #15A13C| yes                               | python, MATCH v1.1.0                                             | | | | | | | | | | |                  43|                
Bicep                          | #519aba| yes                               | Microsoft Azure, MATCH v0.43.x / v0.44.0 WIP                     | | | | | | | | | | |                  44|                
Bison                          | #6A463F| no, parser generator              | Not programming/scripting lang                                   | | | | | | | | | | |                  45|                
BitBake                        | #00bce4| no, build tool                    | Not programming/scripting lang                                   | | | | | | | | | | |                  46|                
BlitzBasic                     | #00FFAE| no                                | Pascal-style                                                     | | | | | | | | | | |                  47|                
BlitzMax                       | #cd6400| yes                               | Pascal-style                                                     | | | | | | | | | | |                  48|                
Bluespec                       | #12223c| yes                               | Verilog MATCH 2026.05                                            | | | | | | | | | | |                  49|                
Bluespec BH                    | #12223c| yes                               | Haskell LISP-style                                               | | | | | | | | | | |                  50|                
Boo                            | #d4bec1| yes                               | Microsoft .NET dotNET MATCH v0.9.8.x / v1.0.0 WIP                | | | | | | | | | | |                  51|                
Boogie                         | #c80fa0| no                                | No Lambda, Microsoft .NET dotNET                                 | | | | | | | | | | |                  52|                
Brainfuck                      | #2F2530| no                                | esolang                                                          | | | | | | | | | | |                  53|                
BrighterScript                 | #66AABB| yes                               | Pascal-style, MATCH, lambda exist Roku OS 15.0                   | | | | | | | | | | |                  54|                
Brightscript                   | #662D91| no                                | Pascal-style, MATCH, lambda exist Roku OS 15.0                   | | | | | | | | | | |                  55|                
CAP CDS                        | #0092d1| no, modeling lang                 |                                                                  | | | | | | | | | | |                  60|                
CLIPS                          | #00A300| no                                |                                                                  | | | | | | | | | | |                  61|                
CMake                          | #DA3434| no                                |                                                                  | | | | | | | | | | |                  62|                
CQL                            | #006091| no, query lang                    |                                                                  | | | | | | | | | | |                  63|                
CUE                            | #5886E1| no, config lang                   |                                                                  | | | | | | | | | | |                  64|                
CWeb                           | #00007a| no                                |                                                                  | | | | | | | | | | |                  65|                
Cadence                        | #00ef8b| no                                |                                                                  | | | | | | | | | | |                  66|                
Cairo                          | #ff4a48| no                                |                                                                  | | | | | | | | | | |                  67|                
Cairo Zero                     | #ff4a48| no                                |                                                                  | | | | | | | | | | |                  68|                
CameLIGO                       | #3be133| yes                               |                                                                  | | | | | | | | | | |                  69|                
Cap'n Proto                    | #c42727| no, schema                        |                                                                  | | | | | | | | | | |                  71|                
Carbon                         | #222222| yes                               |                                                                  | | | | | | | | | | |                  72|                
Ceylon                         | #dfa535| yes                               |                                                                  | | | | | | | | | | |                  73|                
Chapel                         | #8dc63f| yes                               |                                                                  | | | | | | | | | | |                  74|                
ChucK                          | #3f8000| yes                               |                                                                  | | | | | | | | | | |                  75|                
Circom                         | #707575| no                                |                                                                  | | | | | | | | | | |                  76|                
Cirru                          | #ccccff| no                                |                                                                  | | | | | | | | | | |                  77|                
Clarion                        | #db901e| no                                |                                                                  | | | | | | | | | | |                  78|                
Clarity                        | #5546ff| yes                               |                                                                  | | | | | | | | | | |                  79|                
Classic ASP                    | #6a40fd| no                                |                                                                  | | | | | | | | | | |                  80|                
Clean                          | #3F85AF| yes                               |                                                                  | | | | | | | | | | |                  81|                
Click                          | #E4E6F3| no                                |                                                                  | | | | | | | | | | |                  82|                
Clojure                        | #db5855| yes                               |                                                                  | | | | | | | | | | |                  83|                
Clue                           | #0009b5| yes                               |                                                                  | | | | | | | | | | |                  84|                
CodeQL                         | #140f46| no, query lang                    |                                                                  | | | | | | | | | | |                  85|                
CoffeeScript                   | #244776| yes                               |                                                                  | | | | | | | | | | |                  86|                
ColdFusion                     | #ed2cd6| yes                               |                                                                  | | | | | | | | | | |                  87|                
ColdFusion CFC                 | #ed2cd6| yes                               |                                                                  | | | | | | | | | | |                  88|                
Common Lisp                    | #3fb68b| yes                               |                                                                  | | | | | | | | | | |                  89|                
Common Workflow Language       | #B5314C| no                                |                                                                  | | | | | | | | | | |                  90|                
Component Pascal               | #B0CE4E| no                                |                                                                  | | | | | | | | | | |                  91|                
Csound                         | #1a1a1a| no                                |                                                                  | | | | | | | | | | |                  93|                
Csound Document                | #1a1a1a| no                                |                                                                  | | | | | | | | | | |                  94|                
Csound Score                   | #1a1a1a| no                                |                                                                  | | | | | | | | | | |                  95|                
Cuda                           | #3A4E3A| yes                               |                                                                  | | | | | | | | | | |                  96|                
Curry                          | #531242| yes                               |                                                                  | | | | | | | | | | |                  97|                
Cypher                         | #34c0eb| no, query lang                    |                                                                  | | | | | | | | | | |                  98|                
Cython                         | #fedf5b| yes                               |                                                                  | | | | | | | | | | |                  99|                
DM                             | #447265| no                                |                                                                  | | | | | | | | | | |                 101|                
Dafny                          | #FFEC25| yes                               |                                                                  | | | | | | | | | | |                 102|                
Daslang                        | #d3d3d3| yes                               |                                                                  | | | | | | | | | | |                 104|                
DataWeave                      | #003a52| yes                               |                                                                  | | | | | | | | | | |                 105|                
